421 10
!q_inv tpot_inv tpot_pbl pbl lwc_max cdnc cos_mu lwp_rad lhf avg_wp_bc
1.6083  2.232  297.547  73.32 0.1966  40.35  0.62543  57.9 149.4 0.4874
1.6562  9.443  291.907  123.91 0.347  60.02  0.0445  0 73.2 0.08071
8.5603  8.019  297.936  143.65 0.2757  37.61  0.91148  0 131.6 0.4093
1.8683  2.413  298.796  73.26 0.3099  94.43  -0.00036  22.5 83.1 0.355
2.2058  1.628  296.239  107.47 0.0314  72.9  0.00412  50.6 162.7 0.5666
1.805  8.508  273.309  166.37 0.6678  217.81  0.69246  0.1 72.8 0.1931
4.6384  5.668  282.627  107.54 0.0247  101.52  0.00674  0.6 88.7 0.3461
7.3529  11.74  289.891  124.28 0.2383  60.8  0.02573  0 300.8 0.4881
1.6286  5.069  294.904  105.66 0.3129  73.2  0.00921  6.4 160.4 0.2966
5.9553  9.832  290.107  188.45 0.4857  35.64  0.01557  3 155.1 0.3878
1.2054  2.806  290.069  73.4 0.1956  43.69  0.18118  19.9 48.5 0.1263
5.1466  4.629  297.601  105.43 0.2495  68.63  0.91581  0.4 109.6 0.3744
2.3469  5.166  274.296  88.98 0.1716  195.07  0.20283  0 46.6 0.1673
2.3181  2.573  294.192  125.9 0.2892  57.08  0.51597  11.6 85.7 0.4006
7.3189  4.775  292.446  105.67 0.0997  248.93  0.26698  0.7 100 0.3866
0.9  7.048  276.251  144.01 0.2678  77.21  0.26012  1.9 33.4 0.3086
4.7161  8.299  285.254  146.32 0.1138  73.91  0.18915  0 48.2 0.346
2.6642  3.124  299.157  59.03 0.4075  11.11  -0.00219  0 110 0.3147
0.7856  1.636  283.084  143.73 0.1803  70.2  0.00032  27.9 149.8 0.4551
0.7495  2.245  279.542  58.71 0.1983  90.13  0.19875  0.5 -8 0.08194
0.5039  3.894  272.185  47.44 0.2175  129.56  0.34117  1.9 8.3 0.3056
4.7038  11.292  288.061  166.41 0.409  58.09  0.84643  0.1 58.8 0.06928
5.8428  12.75  287.659  167.27 0.3919  90.92  -0.00606  0.1 394.1 0.5927
2.993  6.657  293.753  164.84 0.1444  32.74  -0.00445  2.5 127.1 0.3724
0.8826  11.072  270.188  143.14 0.4813  455.19  0.22068  0.8 10.7 0.229
4.0247  7.903  290.658  168.19 0.2751  146.8  0.00071  9 126.7 0.2331
2.4646  7.165  277.194  166.28 0.309  83.86  0.68046  0.2 209.4 0.3188
2.2458  6.588  297.224  123.9 0.2317  39.44  0.11847  0.3 142.2 0.2794
6.9533  8.213  292.21  144.56 0.139  45.51  0.83358  0 174.1 0.4499
6.31  8.805  292.389  59.07 0.2331  165.1  0.00274  0 66.4 0.2288
6.2213  12.122  293.476  164.52 0.3416  44.86  0.15983  2.3 82.3 0.3347
0.3787  2.942  281.01  125.35 0.1686  118.73  0.21284  0 0.8 0.3218
1.4136  6.553  281.101  90.11 0.2402  302.43  0.75363  0.2 27.3 0.2044
1.7812  9.876  272.643  122.85 0.4896  126.31  0.01609  0.2 48.2 0.3883
8.0177  6.475  302.231  142.42 0.1447  142.68  0.27184  0.8 104.7 0.3616
5.9068  13.815  289.291  166.81 0.664  57.16  -0.0025  0.1 111.1 0.3239
7.0567  8.536  299.474  165.08 0.3374  77.88  0.84294  0.1 230.2 0.4584
3.034  3.919  287.343  107.67 0.3687  112.48  0.00046  0.6 97.8 0.4268
8.4966  12.621  296.225  189.01 0.1076  14.34  0.35942  0 174.1 0.4279
4.1752  11.193  287.427  145.64 0.2409  77.95  0.0009  0 31.1 0.3228
2.8159  3.357  301.728  123.23 0.1352  14.65  0.00057  16.7 102.8 0.3134
5.3593  6.947  299.186  143.47 0.1627  57.35  0.00401  3.7 177.5 0.4589
1.8635  3.815  300.221  122.9 0.2661  42.06  0.00335  14.1 73.6 0.1352
2.4402  3.133  300.819  104.74 0.4281  130.33  -0.00472  51.8 113.4 0.3953
0.4266  7.69  270.718  123.13 0.1387  151.57  0.25568  1.9 26.4 0.3146
5.6374  6.455  297.602  123.82 0.3132  37.59  0.37555  1.3 186 0.4457
1.3845  4.998  289.054  144.36 0.2803  91.21  0.43789  0.2 40.2 0.01699
3.39  2.825  298.214  105.74 0.204  36.55  0.00494  31.3 183.8 0.5614
2.9156  2.731  299.82  105.78 0.2615  62.08  0.00058  21.8 124.6 0.4581
8.7266  12.278  298.032  187.31 0.257  58.9  0.00601  4.1 196.8 0.4523
2.8256  1.922  293.121  47.33 0.1045  45.49  0.10592  37.1 42.1 0.2718
6.1603  10.443  292.689  189.24 0.2847  42.52  -0.00204  19.8 161.6 0.2956
0.7369  5.908  270.155  85.78 0.1795  142.57  0.00074  0 26.3 0.05711
2.4184  7.277  278.055  168.82 0.2659  69.69  0.53518  0.1 85.3 0.1087
2.9093  2.504  299.585  73.14 0.3956  29.18  0.0012  61.2 72.1 0.3609
5.8645  3.686  293.91  125 0.099  69.6  0.94674  3.3 155.5 0.4819
6.0962  14.387  290.814  165.76 0.3064  26.87  0.52614  0.4 160.8 0.2704
0.4312  1.077  275.029  45.56 0.1012  56.89  0.67513  27.7 -6.1 0.02291
2.3524  2.354  297.67  88.31 0.0971  103.36  0.82391  1.1 83.4 0.3217
2.9538  3.115  298.192  105.26 0.3179  39.84  0.88837  0.7 121.4 0.4119
1.231  2.623  294.948  72.9 0.2972  22.55  0.0028  147.5 148.7 0.4328
6.5879  9.845  291.341  145.17 0.3553  101.18  0.17574  0.3 64.9 0.2028
5.0538  5.541  301.288  144.3 0.2331  57.92  0.91433  2.1 148.3 0.415
1.1324  2.157  275.049  170.22 0.1435  113.92  -0.00359  0 229.5 0.4911
6.7203  11.511  293.345  191.71 0.7539  84.91  0.00083  0.1 195.7 0.2162
2.6364  12.166  274.179  88.9 0.2843  162.5  -0.00895  2.1 65.6 0.4156
8.2567  12.479  291.318  106.13 0.4069  119.76  0.16587  0.1 88 0.3602
5.6674  5.921  300.59  164.08 0.2537  23.47  0.00082  0 163.5 0.4856
0.9352  10.461  278.876  184.55 0.4621  63.93  -0.00441  0 30.7 0.1604
2.309  2.61  297.614  59.04 0.0276  34.81  0.02284  8.3 70.9 0.2782
3.4275  12.133  287.283  191.78 0.387  114.73  -0.0027  0.1 110 0.1211
1.3771  2.824  298.452  105.4 0.2112  14.5  0.00162  19.8 113.4 0.287
2.201  7.871  274.939  147.39 0.3  131.91  0.00249  0.1 114.2 0.2305
1.1229  2.256  281.017  163.86 0.3142  72.35  0.8976  0.2 113.4 0.2544
3.0245  10.666  278.983  191.35 0.3619  82.72  0.67434  0.1 88 0.08751
4.5853  13.469  286.598  190.35 0.4284  38.32  -0.00595  0.9 107 0.1022
0.3491  3.127  279.172  59.41 0.2317  102.59  0.00453  160.1 6.4 0.08829
1.9108  2.075  291.559  125.15 0.0332  33.02  0.8046  41.5 165 0.531
3.2328  5.196  297.016  123.72 0.2862  30.13  0.33373  97.2 224.5 0.4268
4.2744  8.359  288.046  215.95 0.4013  51.11  -0.0019  1 196.1 0.2992
1.1842  5.948  281.664  124.45 0.1676  51.87  -0.00247  141.9 98.6 0.1622
0.2755  6.642  272.776  59.87 0.3111  147.51  0.41048  4.7 -0.4 0.1616
1.4675  5.066  287.92  60.47 0.2197  38.04  -0.01306  163.2 -20.1 0.01865
3.4381  7.942  277.026  90.25 0.1111  119.49  -0.00196  0 62.6 0.1592
1.8758  2.78  292.397  106.12 0.2206  19.38  -0.00085  25.5 119.8 0.3779
2.5869  2.918  296.612  106.99 0.4048  54.58  0.80041  13.3 109.6 0.4168
0.3941  3.54  282.575  74.12 0.2106  159.92  0.00271  0.9 1.9 0.134
2.9133  11.474  280.335  148.63 0.2886  109.75  -0.00603  0 61.4 0.07037
3.6828  4.067  300.993  87.64 0.3873  98.52  0.08207  0.2 101.8 0.37
4.0511  12.774  282.841  166.14 0.5121  92.17  0.04094  0.1 208.2 0.3097
3.129  8.645  290.677  213.97 0.3829  110.62  0.00143  16.6 249.6 0.2725
2.5485  8.604  285.014  124.81 0.3142  49.14  -0.00433  2.5 20.9 0.3499
2.7149  5.856  276.846  105 0.2901  107.09  0.43231  3.3 103.9 0.3076
1.4377  4.697  284.452  186.52 0.538  59.87  -0.00128  12.9 36.4 0.1389
0.5021  1.498  272.358  73.46 0.2192  133.02  0.46863  94.7 1.5 0.07958
1.5532  1.615  297.736  87.83 0.1489  18.84  0.33827  17.4 133.7 0.4927
2.3718  2.547  292.972  73.83 0.0137  27.3  0.37191  148.7 161.9 0.4931
7.3742  4.217  299.799  72.73 0.4893  164.51  -0.00442  0.5 72.1 0.3873
1.0709  1.053  297.635  36.88 0.044  19.98  -0.00193  50.7 37.9 0.2448
3.9465  8.966  286.424  164.9 0.168  77.54  0.87287  44.5 132.6 0.3242
2.0194  2.785  298.954  73.16 0.3589  18.4  0.83468  168.3 105.8 0.3908
3.8437  14.415  281.9  192.45 0.3012  108.87  -0.00339  1.2 67.1 0.4602
2.2391  3.213  296.205  105.43 0.5988  21.55  -0.0012  31.8 74.7 0.2356
5.9385  11.753  285.847  89.28 0.3579  37.81  0.75423  0.3 73.6 0.1244
0.5692  5.339  279.627  73.07 0.2413  181.13  0.58711  2 -9.1 0.2357
2.5265  2.914  300.308  104.98 0.1316  72.96  0.61992  14.4 180.5 0.5059
9.2739  12.375  297.249  144.11 0.3846  59.59  0.00302  0 201.3 0.3563
1.9647  2.615  287.449  123.44 0.1972  42.96  0.52235  64.6 113.4 0.4013
7.4847  13.981  293.204  143.79 0.4742  88.4  -0.00231  2.5 104.7 0.3383
2.612  1.013  296.28  47.12 0.1098  73.28  0.1524  162.3 222.2 0.253
1.8285  2.855  298.64  59.26 0.4193  14.02  0.13218  2.4 31.1 0.1907
2.2383  1.864  297.081  47.39 0.0436  19.4  0.00048  27.2 130.1 0.4432
2.5124  6.704  273.445  90.24 0.3029  203.87  0.81586  0 38.7 0.09183
3.6865  8.655  289.024  216.14 0.2496  31.47  -0.00345  0.2 77.4 0.1904
4.3815  2.537  287.405  58.55 0.0581  101.31  0.00209  0 71.3 0.3739
3.8723  7.387  292.806  147.45 0.3403  47.47  0.91257  0 141.8 0.2822
3.068  2.33  294.355  105.52 0.099  20.3  0.65623  1.1 80.8 0.3489
0.305  9.327  272.477  73.63 0.3765  160.62  0.47565  17.1 -7.6 0.02717
2.7402  9.04  278.147  188.62 0.2334  114.63  -0.0027  2.8 128.9 0.4366
4.8533  3.438  299.499  106.19 0.5872  23.89  0.00246  12.5 146 0.5453
2.5956  3.152  299.986  87.76 0.494  16.22  0.87521  41 125.9 0.4311
6.7773  9.702  294.319  144.05 0.0548  73.39  0.50318  5 145.6 0.3752
7.132  5.052  298.59  123.56 0.1758  165  -0.00322  15.2 124.4 0.4349
8.2738  14.231  294.013  166.08 0.5096  23.65  0.44472  0.1 166.5 0.2376
2.2214  3.294  298.158  88.08 0.343  122.31  0.93484  0 77.4 0.2823
4.3458  4.247  302.073  164.73 0.7246  24.35  0.09606  2.3 199.5 0.6381
7.9686  9.317  298.737  164.49 0.5778  29.3  -0.00266  0.2 100.5 0.3537
6.2339  9.282  296.849  188.31 0.2221  74.27  0.94173  0.9 160.8 0.3769
1.6867  9.015  275.896  74.87 0.2732  427.42  0.13419  11.5 18.6 0.08505
3.762  3.489  300.105  123.04 0.4294  108.04  0.71575  12.1 98.2 0.4021
1.859  2.452  278.164  104.52 0.1719  97.73  -0.00043  1.6 20.9 0.2732
1.8888  6.413  275.668  73.61 0.1546  82.93  0.00456  2.2 3.4 0.3118
1.4144  2.783  287.767  85.23 0.216  80.82  -0.00439  2 -7.2 0.3403
2.6896  3.183  300.75  87.66 0.2856  15.9  0.56699  8.3 118.3 0.3895
2.3726  2.674  292.05  144.51 0.2416  55.01  0.439  31.7 347.8 0.6303
1.2411  3.359  293.886  88.42 0.2284  52.46  0.47672  7.4 26.5 0.1213
5.0157  12.034  293.641  143.84 0.2971  56.45  0.00386  0 100.1 0.1484
0.9149  4.643  277.192  186.21 0.1715  77.89  -0.00375  2.7 57.3 0.3217
1.1283  2.907  288.868  106.02 0.3266  31.07  -0.00118  105.3 19 0.01829
3.5273  7.63  280.427  90.75 0.0237  67.35  0.2559  4.4 83.4 0.3197
1.1641  6.864  282.065  186.8 0.3115  53.14  0.29432  2.2 -1.1 0.2572
3.7384  5.18  302.027  143.56 0.1881  30.09  0.35733  0.6 190.4 0.4789
1.2391  5.832  278.055  59.54 0.3508  161.59  -0.00768  0.4 -17.4 0.2718
1.2964  10.176  278.452  126.7 0.5814  102.59  0.00015  0.3 52.4 0.3347
0.3484  1.984  281.559  36.12 0.1985  139.72  0.00162  3.4 -13.8 0.1723
2.4958  2.156  295.211  89.39 0.3187  49.73  -0.00116  24.9 146 0.5173
2.393  2.393  296.261  73.04 0.0601  69.75  0.03969  56.2 81.9 0.3029
3.6803  12.46  293.611  124.5 0.1313  109.74  -0.00104  0.1 189.1 0.4148
4.2656  3.493  301.829  123.53 0.6307  28.93  -0.00441  7.1 76.6 0.4031
2.4001  10.491  273.066  147.52 0.4847  115  0.51287  1.8 85 0.2772
2.0831  4.344  289.073  125.2 0.0966  153.34  -0.00337  4.8 69.8 0.26
7.7768  12.728  296.991  143.49 0.1103  35.54  -0.00289  0 147.2 0.389
4.85  6.403  297.887  88.22 0.4345  59.71  0.13744  5.2 73.2 0.2366
4.4535  11.444  286.772  145.14 0.5636  109.28  -0.00248  2 134.3 0.3612
7.8786  10.138  300.554  187.66 0.3969  139.65  0.83388  0.1 194.2 0.4405
3.6783  5.945  293.119  106.15 0.0766  170.59  0.46245  3.1 99.7 0.3226
2.1629  9.096  276.92  88.84 0.555  110.48  -0.00038  0 57.3 0.3475
2.0302  2.25  282.929  145.98 0.0747  164.04  -0.00073  5.5 118.7 0.4932
3.5934  7.784  279.35  126.06 0.4214  154.06  0.00332  3.9 45.1 0.2866
1.3744  4.459  293.416  88.61 0.1556  122.07  0.21321  7 73.2 0.1761
0.8111  1.669  280.177  161.1 0.0884  114.67  0.51962  12.1 195.7 0.5471
0.3099  2.876  275.351  58.64 0.0957  243.05  0.10182  52 30 0.09625
3.2094  3.804  295.427  105.47 0.272  33.92  0.66225  0.1 91 0.3243
7.7514  12.384  291.626  167.32 0.3659  17.34  0.48725  0.1 255.4 0.3652
1.3787  4.664  288.216  73.38 0.3118  79.49  0.43696  0.2 57.2 0.1124
2.3451  7.989  278.714  167.97 0.158  66.23  0.22683  0 85 0.1198
0.798  8.292  280.653  185.27 0.3341  84.63  -0.00101  0.7 149.8 0.1912
3.1741  2.908  300.854  104.43 0.5138  81.97  0.79379  17.9 120.2 0.4575
2.6483  4.387  291.636  60.27 0.3155  40.17  -0.00471  0.3 10.6 0.0353
0.9514  2.985  286.445  190.43 0.3114  92.46  0.00228  169.8 70.2 0.1167
3.8186  10.238  280.074  167.62 0.6608  95.43  0.26757  0.3 183.9 0.3215
0.8708  11.32  287.742  167.2 0.2637  57.67  0.26923  0.2 102 0.1676
3.0075  3.063  296.32  123.81 0.4399  41.41  -0.00187  19.7 147.2 0.5406
2.2077  2.365  292.587  60.16 0.1624  40.96  -1e-05  35.8 86.5 0.3686
0.5782  6.583  281.109  159.73 0.3624  221.9  -0.002  0.2 66.2 0.08273
1.9789  4.737  282.846  105.63 0.2667  137.47  0.00183  1.4 41.7 0.3952
3.2311  3.125  298.926  58.88 0.0604  29.32  0.38691  0 85.3 0.3134
3.2151  6.103  302.201  187.24 0.3254  41.25  -0.00496  4 143.7 0.2767
2.3587  2.779  300.968  87.54 0.2681  17.74  0.67003  11 102.8 0.3644
3.0856  4.741  287.498  47.7 0.2787  285.89  0.31436  0.2 61.1 0.2658
0.796  2.926  283.026  72.47 0.1367  83.06  0.37142  131 36.4 0.0889
1.3877  4.418  301.167  163.93 0.1967  42.85  0.00714  4.3 93.7 0.2076
2.8008  10.298  275.39  72.95 0.1287  79.38  0.031  1.3 23.9 0.3889
0.96  2.198  285.491  90.1 0.0793  19.64  -0.00231  27.6 45.1 0.1769
5.5649  12.066  292.866  188.31 0.6058  73.69  0.0002  0.4 80 0.07757
1.4748  2.263  284.982  123.51 0.1461  68.04  -0.00095  79.1 103.2 0.3733
2.7158  1.578  295.135  105.97 0.1035  42.99  -0.00317  46.2 75.9 0.3717
4.1059  2.547  296.584  73.02 0.2067  61.11  -0.00625  18.9 69 0.3588
0.9643  1.704  294.653  36.98 0.1714  37.41  0.11542  71.3 48.9 0.2421
5.5021  9.632  288.853  187.56 0.4148  32.02  0.54194  0.1 234.4 0.3325
2.3588  2.184  300.093  106.03 0.2918  27.9  0.0024  56.8 158.5 0.5406
7.1152  5.262  300.917  163.51 0.2358  77.29  0.63104  1.5 125 0.4328
4.0757  9.188  281.068  107.52 0.0946  152.14  0.00204  0 185.8 0.5429
5.1236  2.848  297.971  88.49 0.4547  76.78  -0.00143  45.7 141.1 0.5475
2.9376  3.019  300.411  88.37 0.2651  27.29  -0.00058  20.2 121.4 0.4169
3.5905  4.057  300.917  104.5 0.1955  14.21  -0.00712  0.1 108.1 0.3548
7.4996  6.141  298.91  144.07 0.5252  69.71  0.90389  2.4 167.6 0.5543
2.2459  2.413  298.76  104.65 0.2301  29.67  0.67524  1.9 130.5 0.4831
1.2218  2.554  299.267  72.94 0.4039  129.64  0.00454  51 59.5 0.1386
