509  10
!tpot,clw_max,pblh,tpot_inv,rt_inv,srfc_tpot_inv,srfc_rt_inv,lwp_rad,cos_mu,wstd_bc
284.955  0.0003806  9167.6  5.735  -0.0004797 0.162  -0.0009103  1.1  0  0.14612
274.482  0.0003686  12854.9  7.39  -0.0005445 0.415  -0.000595  2.3  0.66623  0.108208
271.238  0.0003262  12464  6.745  -0.0002502 0.479  -0.000208  0.5  0.00108  0.189521
274.437  0.000377  9049.4  4.709  -0.00099 0.388  -5.06e-05  0.2  0.43736  0.173879
271.557  0.0003502  8601.4  4.174  -0.0008673 0.159  -0.0002425  2.4  0  0.242264
272.704  0.0004004  8970.3  5.016  -0.0002267 0.32  -0.0003819  11.8  0.47631  0.0638872
287.009  0.0005204  11780.4  16.733  -0.0069838 0.003  -0.0003141  0  0  0.476529
287.779  0.0003361  9040.9  11.429  -0.0050484 0  -0.0001078  0  0.17889  0.130478
288.394  0.0003567  9016.4  15.84  -0.007782 0  -0.0001406  0.1  0  0.125545
279.616  0.0004331  12368.2  10.916  -0.0031925 0  -7.39e-05  2.6  5e-05  0.389567
289.336  0.0004462  9242.6  11.374  -0.0049651 0  0.0002186  0  0.01923  0.303736
286.376  0.0003253  6977.6  10.139  -0.0069292 0  8.7e-06  0  0.19662  0.297651
275.012  0.000775  13301.2  8.215  -0.0027033 0.001  3.42e-05  5.9  0  0.237326
288.789  0.0006223  9043.8  15.04  -0.008473 0  0.0001586  0.1  0.72208  0.12292
281.608  0.0003402  14401.4  8.168  -0.0029489 0.266  -0.0011899  0  0  0.265216
288.086  0.0004496  8502.3  8.547  -0.003776 1.47  -0.000628  0  0.7904  0.110088
279.28  0.000503  11819.4  7.624  -0.0029949 0.044  -0.0005794  0.1  0  0.31281
284.373  0.0005359  10714.3  8.602  -0.0042413 0.583  -0.0012148  0.7  0.42218  0.194689
282.552  0.0004382  12621.9  10.027  -0.0045431 0.063  -0.0002879  0.1  0  0.292287
283.864  0.0005564  12770.4  12.668  -0.0047237 0.237  -0.0004308  0.1  0.56748  0.201825
275.544  0.0006169  10534.3  12.41  -0.0030702 0.251  6.59e-05  4.1  0  0.294965
276.79  0.0008077  12206.3  9.465  -0.0032352 0.041  -0.0003517  0.5  0.52588  0.139073
275.027  0.0003618  12690.7  7.569  -0.0020799 0  -0.0001538  0.1  0  0.353517
278.314  0.0005584  8651.8  13.999  -0.0022048 0  6.2e-06  0  0.52899  0.0889021
277.742  0.0006656  12517.6  8.566  -0.0007376 0  -2.79e-05  0.9  0  0.270784
270.874  0.0003833  8580.3  7.735  -0.0008379 0  -0.0001791  1.4  0.16583  0.267074
274.917  0.0003233  14279.7  9.63  -0.0014131 0  3.66e-05  0.1  0.00337  0.401626
275.871  0.0005382  10877  9.436  -0.0010937 0  5.11e-05  0.1  0.47297  0.0914013
281.219  0.000545  7544.9  10.529  -0.0024861 0  2.93e-05  0.9  0.27044  0.240667
271.375  0.0004547  6135.5  8.495  -0.0002697 0  4.28e-05  20.2  0.54262  0.00397966
288.12  0.0004024  11265.9  9.272  -0.002333 0.271  -0.001836  0.1  0  0.200184
273.054  0.0003758  11537.4  9.095  -0.0003342 1.288  -0.0006503  0.1  0.37166  0.123132
279.377  0.0004681  14458.6  8.803  -0.0012225 0.335  -0.0006799  0.2  0.00255  0.195479
271.438  0.0005098  12819.9  10.155  -0.000549 0.229  -0.0007218  0.3  0.40166  0.143705
273.289  0.0003458  10869.3  8.783  -0.0002018 0.246  -0.0002728  0.1  0.03267  0.14103
271.651  0.0006744  9127.1  12.006  -0.0003372 0.503  -7.4e-05  0.1  0.19991  0.201086
285.07  0.0004419  12530.7  8.39  -0.0008215 0.12  -0.0003888  2.3  0  0.233693
273.2  0.0004246  6616.1  8.369  -0.000339 0.262  -0.0001582  71.4  0.26691  0.103859
285.298  0.0003544  16696.4  5.296  -0.0038797 0  -0.0002809  0.1  0  0.205411
284.132  0.0004309  14820.7  8.82  -0.0040017 0.141  -0.0005593  0.1  0.32551  0.126632
280.559  0.0007081  19007.4  9.217  -0.0031585 0.279  -0.0006557  1.5  0  0.434361
288.786  0.0004682  17182.3  6.334  -0.0041728 0.183  -0.0007739  0.3  0.98865  0.212756
288.449  0.0004008  18524  6.924  -0.0057487 0  4.91e-05  0  0  0.468615
280.056  0.0004264  14854.7  7.481  -0.0026883 0  -1.38e-05  0.1  0.10875  0.364576
277.152  0.0006112  14670.2  7.915  -0.0029764 0  -7.05e-05  12.5  0  0.271055
280.802  0.0005572  18507.9  8.112  -0.002741 0  -0.0001498  3.3  0.00024  0.378366
286.353  0.0003811  16913.2  6.836  -0.003323 1.055  -0.0017325  0.1  0  0.237534
286.143  0.0004483  15053.8  8.644  -0.0044615 0.855  -0.0012372  0.1  0.19167  0.27804
288.339  0.0003987  21705.9  8.59  -0.0037084 1.26  -0.002181  1.8  0  0.309221
282.765  0.0003352  16538.6  7.567  -0.0028082 1.282  -0.0015686  2.8  0.50809  0.240977
282.58  0.0004764  14964.6  8.006  -0.0024516 0.482  -0.0008624  0.1  0  0.327801
280.204  0.0003919  17076  8.941  -0.0026323 1.024  -0.0010601  0.1  0.30979  0.345106
276.459  0.0005766  15086.3  8.662  -0.0022289 2.182  -0.0003468  3.1  0  0.344515
288.419  0.0005276  21565.4  8.544  -0.0025818 0.74  -0.0010912  0.7  0.09657  0.339022
279.732  0.0003702  20687.3  6.626  -0.0021269 0.258  -0.0009059  0.1  0  0.353204
282.169  0.0005719  16681.7  5.414  -0.0020727 0.011  -0.0005249  0.2  0.26012  0.30934
278.498  0.0005976  16551.1  5.31  -0.0013505 0.191  -0.0002063  0.5  0  0.217422
278.288  0.0004919  18598.3  6.399  -0.0011967 0.06  -0.0001673  0.3  0.43782  0.195344
278.77  0.0003568  15955.3  6.536  -0.0020601 0  -0.0001124  0.1  0  0.337997
271.658  0.0004527  17113.1  6.669  -0.0011767 0.224  -0.0001244  0.1  0.3217  0.257911
272.424  0.0005642  16825.1  5.586  -0.0018324 0.029  2.05e-05  0.3  0  0.39773
271.508  0.0004848  16685.5  7.107  -0.0017758 0.093  3.42e-05  0.4  0.1154  0.400993
282.778  0.0003541  15141  7.437  -0.0015848 0.782  -0.0011704  0.1  0  0.303951
286.311  0.0004128  14684.3  2.47  -0.0022234 1.431  -0.001125  0.1  0.77568  0.197011
285.453  0.000341  19272.9  3.826  -0.0011843 1.21  -0.0013684  170.8  0  0.0629579
281.58  0.0003233  18673.3  2.481  -0.0012518 1.858  -0.0013113  1.1  0.22747  0.288654
273.369  0.0005608  16932.5  6.673  -0.0004825 3.747  -0.0002085  0.2  0.0701  0.280404
283.036  0.0004091  18910  7.497  -0.0015967 0.692  -0.0007385  0.2  0.51998  0.274376
281.046  0.0003422  15030.2  3.341  -0.0004234 0.452  -0.0008035  0.4  0  0.0665293
278.112  0.000323  20517  6.511  -0.0012848 0.683  -0.0006357  1.7  0.12611  0.378242
285.965  0.0006476  21003.2  10.888  -0.0046866 0  -0.0002816  0.1  0  0.462072
284.73  0.0005391  16513.5  11.836  -0.0047135 0.293  -0.0005333  0.1  0.89731  0.181517
288.718  0.0004885  21508.3  9.672  -0.0044349 0.159  -0.0006598  0.2  0  0.349852
282.531  0.0004408  17049.7  12.827  -0.003985 0.294  -0.0009306  0.2  0.00728  0.524848
285.661  0.0003908  14841.3  9.87  -0.0051244 0  -7.5e-05  0.1  0  0.357053
284.246  0.0006972  16448.7  12.987  -0.005053 0.199  -0.0001641  0.1  0.68956  0.284632
286.956  0.0008234  17575.7  11.905  -0.0057052 0.004  -4.73e-05  0.2  0  0.389476
284.352  0.0006612  19556.9  9.863  -0.0040976 0  -2.96e-05  0.3  0.59907  0.270351
285.367  0.0003855  16833.8  12.279  -0.0039299 0.875  -0.0018733  0.1  0  0.404405
288.078  0.0004082  16586  9.786  -0.0050759 1.304  -0.0014091  0.1  0.74729  0.243346
289.32  0.0005395  21667.9  10.845  -0.0046185 0.991  -0.001977  0.2  0  0.372245
289.233  0.0004252  19202.7  9.854  -0.0048247 0.93  -0.0014757  0.2  0.62182  0.2563
289.216  0.0004217  16876.8  13.626  -0.005988 1.084  -0.0010785  0  0.07558  0.387172
287.797  0.0003508  17520.8  13.515  -0.0053819 0.753  -0.0008732  0  0.66275  0.382416
285.719  0.0005431  18983  13.871  -0.0044609 0.918  -0.0008344  0.2  0  0.456896
288.367  0.0004526  19193.6  9.851  -0.0050978 0.532  -0.0010793  0.7  0.37978  0.317137
283.474  0.0004956  19379.9  10.922  -0.0035551 0  -0.000194  0.1  0  0.43725
277.516  0.000372  20999  12.187  -0.0010715 0.241  -0.00034  0.1  0.30454  0.352821
276.585  0.0004129  14867.3  10.224  -0.0029607 0.233  -0.0006135  0.2  0  0.464555
285.652  0.0006103  18889.9  12.742  -0.003581 0.17  -0.0003096  0.2  0.74726  0.18651
281.498  0.0005553  18316.2  12.892  -0.0037579 0  2.74e-05  0.1  0  0.531747
281.218  0.0005019  16205.7  11.891  -0.0020058 0  -2.48e-05  0.1  0.0195  0.369352
272.712  0.0004428  16411.9  12.547  -0.0007185 0.028  4.38e-05  3.7  0  0.348369
275.855  0.0005783  14840  11.929  -0.0029491 0  1.37e-05  3.6  0.27712  0.326412
283.113  0.0003527  17506.6  10.148  -0.0033048 0.725  -0.0014487  0.1  0  0.339862
282.36  0.0004143  16923.9  10.577  -0.0031768 0.769  -0.0010871  0.1  0.67018  0.233341
279.982  0.0004449  19371.6  11.075  -0.0019962 0.637  -0.001415  1.1  0  0.437088
282.439  0.0005488  19188.1  10.028  -0.0035486 0.849  -0.0011467  0.3  0.18409  0.438912
278.005  0.0003461  19147.7  10.149  -0.0023071 1.017  -0.0009071  0.1  0  0.481725
271.667  0.0005329  14667.3  12.092  -0.0002903 0.327  -0.0008639  0.1  0.39712  0.162398
279.876  0.0005082  14794.3  11.331  -0.0026177 0.429  -0.0006559  0.2  0  0.413397
278.725  0.0005575  17034.2  12.777  -0.002703 0.321  -0.0007863  0.2  0.19407  0.40861
298.217  0.0001659  4313.9  1.683  -0.0034911 0.006  -0.0002779  44.9  0  0.149902
299.581  0.0001376  5069.6  1.795  -0.0029585 0.211  -0.0007201  37.8  0.46085  0.0994637
299.897  0.0002396  6384.8  1.694  -0.0037795 0.3  -9.46e-05  61.9  0  0.106379
298.205  0.0002112  5170.6  1.869  -0.0033054 0.074  -0.0007771  54.2  0.65059  0.175234
293.024  9.02e-05  9017.3  2.009  -0.0066145 0  0.0010273  0  0  0.0780635
298.965  0.0001786  6043.2  1.933  -0.0025357 0  0.0004145  13  0.63216  0.0941168
297.773  0.0002532  4847.3  1.763  -0.0026276 0.507  0.0012167  29.2  0  0.066257
298.723  0.0001775  6048.8  1.483  -0.0027351 0.462  0.0011043  45.2  0.85566  0.0815274
296.231  0.0001113  6100.2  1.861  -0.0027829 0.748  -0.0001156  13.3  0  0.0726525
300.684  0.0001201  8813.2  1.826  -0.0030659 1.7  -0.0001731  3.6  0.57634  0.0897132
299.054  0.0001138  7456.9  1.669  -0.002798 0.714  0.0001521  48.1  0  0.0710483
299.746  0.0001043  5921.3  1.429  -0.0027372 0.582  0.0001004  45.9  0.50861  0.0828472
300.454  0.0001272  7305.9  2.11  -0.0046641 0.599  0.0005163  4.9  0  0.116663
297.945  8.21e-05  6080.2  2.117  -0.0034211 0.526  0.0005777  21.8  0.31881  0.0492173
298.16  0.0002992  6083.1  2.01  -0.0037839 0.774  0.0004665  41.2  0  0.105177
300.106  0.0002254  7296.2  2.145  -0.0040031 0.648  0.0004407  31.2  0.9231  0.0917641
299.448  0.0001  6027.3  2.134  -0.0022086 0.396  -0.0013252  46.5  0  0.0501269
293.693  0.0002839  6310.8  1.769  -0.0009388 0.419  -0.0010858  2.6  0.34021  0.0490459
298.465  0.0001101  6044.6  2.096  -0.0025003 0.393  -0.0003372  53.9  0  0.0557526
296.054  0.0001235  5224.7  1.576  -0.0022825 0.121  -0.0001347  146.9  0.59964  0.084517
299.804  0.0001394  5947.6  1.896  -0.0024543 0.257  0.0005133  37.8  0  0.0863499
296.932  0.0002121  6046.6  1.768  -0.0017604 0.591  0.0003419  25.5  0.18137  0.0764813
296.971  0.0001476  4848.8  1.806  -0.0013121 0.614  0.0002264  95  0  0.0531574
294.592  0.0001155  4706.5  1.719  -0.0007598 0.578  0.0001424  243.8  0.2224  0.0490771
300.195  0.000263  8922  2.045  -0.0025037 1.354  -0.0005484  20.9  0  0.112416
299.873  5.62e-05  8840  1.981  -0.0010708 1.593  -0.0015265  25.2  0.14398  0.0279681
